Date	Transaction Name	Vendor	Subteam	Order ID	Cost	Order Cost
9/14/2014	Power Supply	Amazon	Electrical	0914a1	184.90	184.90
9/14/2014	Transciever	Amazon	Electrical	0914a1	172.80	172.80
9/14/2014	Anti Static Mat	Amazon	Electrical	0914a1	17.90	17.90
9/18/2014	Solid State Drive	Amazon	Electrical	0918a1	59.95	59.95
9/18/2014	Memeory Card	Amazon	Electrical	0918a2	42.99	42.99
9/18/2015	Intel NUC	Newegg	Software	0918a3	272.12	272.12
9/19/2014	Tool Box	Amazon	CMR	0919a1	354.99	354.99
10/21/2014	NetPrint	Cornell	CMR	1021a1	29.49	29.49
11/9/2014	298:1 Micro Metal Gearmotor HP	Pololu	Task	1109d1	15.95	19.90
11/9/2014	45 RPM HD Precision Planetary Gear Motor	ServoCity	Task	1109d2	39.99	39.99
11/9/2014	360:1 Mini Metal Sealed Gear Motor	Robot Marketplace	Task	1109d3	18.99	24.99
11/9/2014	Worm Gear	SDP-SI	Task	1109d4	27.90	37.02
11/9/2014	Worm	SDP-SI	Task	1109d5	18.22	27.34
11/9/2014	American Marine PINPOINT pH Probe	Amazon	Electrical	1109d6	39.99	39.95
11/9/2014	36 Inch Latex Balloon White	Amazon	Task	1109d7	9.19	6.69
11/9/2014	Sabertooth Dual 12A 6V-24V Regenerative Motor Driver	Robotshop	Electrical	1109d8	79.99	88.99
11/11/2014	154:1 Metal Gearmotor 20Dx44L mm	Pololu	Task	1111d1	19.95	39.90
11/11/2014	73:1 Metal Gearmotor 20Dx42L mm	Pololu	Task	1111d1	19.95	
11/15/2014	NetPrint	Cornell	CMR	1115a1	4.92	4.92
12/1/2014	Linear Potentiometer	Pololu	Electrical	1201d1	35.85	35.85
12/1/2014	Drive Motors	MidWest	Drive	1201a1	3,350.00	3,350.00
12/3/2014	Maple Dowl rod	McMaster	Drive	1203a1	2.36	63.85
12/3/2014	Super-Swivel Ball Joint Rod Ends	McMaster	Drive	1203a1	20.36	
12/3/2014	PTFE-Lubricated SAE 841 Bronze Flanged Bearing	McMaster	Task	1203a1	2.96	
12/3/2014	1-1/2" Thick x 2-1/2" Width	McMaster	Task	1203a1	31.20	
12/3/2014	Multipurpose 6061 Aluminum with Certification	McMaster	Drive	1203a2	49.49	124.83
12/3/2014	Multipurpose 6061 Aluminum	McMaster	Drive	1203a2	4.61	
12/3/2014	Multipurpose 6061 Aluminum	McMaster	Drive	1203a2	8.67	
12/3/2014	Multipurpose 6061 Aluminum	McMaster	Drive	1203a2	3.17	
12/3/2014	Multipurpose 6061 Aluminum	McMaster	Drive	1203a2	5.20	
12/3/2014	Multipurpose 6061 Aluminum	McMaster	Drive	1203a2	4.16	
12/3/2014	Super-Absorbent Super-Cushioning Foam	McMaster	Drive	1203a2	3.59	
12/3/2014	Super-Resilient Extreme-Temperature Silicone Foam	McMaster	Drive	1203a2	28.74	
12/3/2014	Super-Cushioning Polyurethane Foam	McMaster	Drive	1203a2	6.23	
12/3/2014	DC/DC CONVERTER 12V 50W	DigiKey	Electrical	1203a3	108.68	363.83
12/3/2014	20/12 mm Center Space Encoders	DigiKey	Task	1203a3	2.69	
12/3/2014	CONN HEADER RT/A .100 10POS 15AU	DigiKey	Electrical	1203a3	15.98	
12/3/2014	CONN RCPT 14POS.100 SLIM W/LATCH	DigiKey	Electrical	1203a3	8.43	
12/3/2014	CONN HEADER VERT 4POS PCB TIN	DigiKey	Electrical	1203a3	10.28	
12/3/2014	CONN RCPT 10POS.100 SLIM W/LATCH	DigiKey	Electrical	1203a3	7.75	
12/3/2014	DC/DC CONVERTER 15V 50W	DigiKey	Electrical	1203a3	107.68	
12/3/2014	IC I/O EXPANDER I2C 16B 28SDIP	DigiKey	Electrical	1203a3	12.00	
12/3/2014	IC ADC/DAC 8-BIT I2C 16-DIP	DigiKey	Electrical	1203a3	16.75	
12/3/2014	IC PWM CTLR LED DVR 28TSSOP	DigiKey	Electrical	1203a3	12.75	
12/3/2014	CAP CER 0.1UF 10V 10% X5R 0402	DigiKey	Electrical	1203a3	3.00	
12/3/2014	IC INVERTER HEX 1INPUT 14DIP	DigiKey	Electrical	1203a3	33.60	
12/3/2014	RES 220 OHM 1/10W 1% 0603 SMD	DigiKey	Electrical	1203a3	6.85	
12/3/2014	RES 100 OHM 1/10W 5% 0603	DigiKey	Electrical	1203a3	6.10	
12/3/2014	568-1087-5-ND	DigiKey	Electrical	1203a3	16.75	
12/3/2014	Newegg Item - Shanu	Amazon	Electrical	1203r1	21.81	21.81
12/3/2014	Newegg Item - Shanu	Ebay	Electrical	1203r2	25.99	25.99
12/3/2014	Newegg Item - Matthew Filipek	Newegg	Electrical	1203r3	14.30	411.79
12/3/2014	Newegg Item - Matthew Filipek	Newegg	Electrical	1203r3	248.79	
12/3/2014	Newegg Item - Shanu Dhali	Newegg	Electrical	1203r3	128.00	
12/3/2014	Newegg Item - Shanu Dhali	Newegg	Electrical	1203r3	86.99	
12/3/2014	Newegg Item - Justin Cray	Newegg	Electrical	1203r3	6.55	
12/8/2014	Rectangular Bar, 1/8" x 1/2" x 3 ft 6061 aluminum	McMaster	Drive	1208a5	2.20	234.69
12/8/2014	Corner-Mount Compression Spring Draw Latch	McMaster	Drive	1208a5	21.50	
12/8/2014	Surface-Mount Hinge	McMaster	Drive	1208a5	4.62	
12/8/2014	Aluminum Rod 1 1/8th diameter, 1ft long	McMaster	Drive	1208a5	9.35	
12/8/2014	Aluminum Rod 1'' diameter, 1ft long	McMaster	Drive	1208a5	7.74	
12/8/2014	Bars, 5/8'' thick, 1'' width	McMaster	Drive	1208a5	21.28	
12/8/2014	Multipurpose 6061 Aluminum 1/2" Thick, 1-1/2" Width	McMaster	Drive	1208a5	25.50	
12/8/2014	8975K482	McMaster	Drive	1208a5	13.28	
12/8/2014	1/2" Thick, 1" Width	McMaster	Drive	1208a5	3.17	
12/8/2014	Rectangular Bar, 5/16" x 1"	McMaster	Drive	1208a5	2.02	
12/8/2014	7/16" Thick, 2" x 48"	McMaster	Drive	1208a5	27.43	
12/8/2014	Spring bearing connector	McMaster	Drive	1208a5	82.36	
12/8/2014	Soil Moisture Hygrometer Detection Sensor Module Silver Red	EachBuyer	Electrical	1208a6	3.29	3.99
12/8/2014	Signal Crimps	Mouser	Electrical	1208a8	32.70	39.69
12/9/2014	High Strength 1144 Medium Carbon Steel Rod Extra-Strength, 2-1/2" Diameter, 3ft	McMaster	Drive	1209a1	78.43	78.43
12/9/2014	Tycon Power 10-15VDC In, 24VDC Out 35W Hi Power DC to DC Converter and POE inserter	Baltic Networks	Electrical	1209a2	44.05	66.06
12/10/2014	1.25" by 1" by 12"	McMaster	Drive	1210a1	10.96	19.23
12/10/2014	3 x 1/8 x 6 AL 6061T6 	McMaster	Drive	1210a1	2.39	
12/11/2014	Aluminum Rod 1'' diameter, 1ft long	McMaster	Drive	1211a1	13.37	13.37
12/18/2014	1/4" thick, 2.5" wide, 1ft long AL 6061 	McMaster	Task	1218a1	6.22	46.45
12/18/2014	1.5" diameter 6 " cylinder/rod	McMaster	Task	1218a1	9.58	
12/18/2014	Coated Carbide Two-Flute Drill/Mill	McMaster	Drive	1218a1	17.37	
12/18/2014	Multipurpose 6061 Aluminum 5/8" Thick x 1-1/4" Width	McMaster	Drive	1218a1	13.28	
12/19/2014	Unknown item	Mouser	CMR	0216a4	3.18	3.18
1/3/2015	8975K68	McMaster	Task	0103a1	3.96	56.28
1/3/2015	8975K596	McMaster	Task	0103a1	1.91	
1/3/2015	8974K18	McMaster	Task	0103a1	9.58	
1/3/2015	1610T17	McMaster	Task	0103a1	15.95	
1/3/2015	8974K68	McMaster	Task	0103a1	18.37	
1/3/2015	Multipurpose 6061 Aluminum Rod, 3/4" Diameter x 1ft long	McMaster	Task	0103a2	10.26	110.68
1/3/2015	Multipurpose 6061 Aluminum Rod, 3/8" Diameter x 1 ft long	McMaster	Task	0103a2	2.61	
1/3/2015	Multipurpose 6061 Aluminum Rod, 1/4" Diameter x 1 ft long	McMaster	Task	0103a2	1.34	
1/3/2015	Multipurpose 6061 Aluminum, 5/8" Thick, 1-1/2" Width x 6" long	McMaster	Task	0103a2	5.56	
1/3/2015	Multipurpose 6061 Aluminum, Rectangular Bar, 1/8" x 2" x 6" long	McMaster	Task	0103a2	1.59	
1/3/2015	Multipurpose 6061 Aluminum 5/16" Thick, 3" Width	McMaster	Task	0103a2	5.22	
1/3/2015	Multipurpose 6061 Aluminum Rectangular Bar, 3/16" x 3/4"	McMaster	Task	0103a2	0.97	
1/3/2015	Multipurpose 6061 Aluminum Rectangular Bar, 3-1/4" x 3-1/4"	McMaster	Task	0103a2	39.86	
1/3/2015	Aluminum Female Threaded Round Standoff, 1/4" OD, 1-1/4" Length, Screw size: 8-32	McMaster	Task	0103a2	2.46	
1/3/2015	SAE 863 Bronze Sleeve Bearing for 3/4" Shaft Diameter, 1-1/4" OD, 1" Length	McMaster	Task	0103a2	6.44	
1/3/2015	SAE 841 Bronze Sleeve Bearing for 1/4" Shaft Diameter, 5/16" OD, 1/4" Length	McMaster	Task	0103a2	0.43	
1/3/2015	SAE 841 Bronze Sleeve Bearing for 3/4" Shaft Diameter, 7/8" OD, 1/2" Length	McMaster	Task	0103a2	1.47	
1/3/2015	Multipurpose 6061 Aluminum Rectangular Tube 1/8" Wall Thickness, 2" x 3"	McMaster	Task	0103a2	9.88	
1/3/2015	Electrical-Grade Fiberglass U-Channel (GP03) 2" Base x 1" Legs, 1/4" Wall Thickness, 3' Length	McMaster	Task	0103a2	14.87	
1/3/2015	 A 1C 5MYK10RC	SDP-SI	Task	0103a3	36.56	124.59
1/3/2015	A 1B 6-N24020	SDP-SI	Task	0103a3	39.78	
1/3/2015	A 1C55-N24	SDP-SI	Task	0103a3	30.70	
